Rank,Release Group,Worldwide,Domestic,%,Foreign,%
81,Kaamelott: First Installment,"$21,941,166","$188,000",0.9%,"$21,753,166",99.1%
82,After We Fell,"$21,446,957","$2,147,180",10%,"$19,299,777",90%
83,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
84,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
85,Stillwater,"$19,673,859","$14,465,535",73.5%,"$5,208,324",26.5%
86,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
87,The Green Knight,"$18,873,029","$17,173,321",91%,"$1,699,708",9%
88,Sinkhole,"$18,765,353",-,-,"$18,765,353",100%
89,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
90,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
91,The Stronghold,"$17,286,139",-,-,"$17,286,139",100%
92,Gintama: The Final,"$17,244,651",-,-,"$17,244,651",100%
93,The Dry,"$16,984,586","$364,237",2.1%,"$16,620,349",97.9%
94,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
95,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
96,The Night House,"$15,372,910","$7,100,581",46.2%,"$8,272,329",53.8%
97,Minari,"$15,370,816","$3,110,580",20.2%,"$12,260,236",79.8%
98,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
99,Dear Evan Hansen,"$14,751,695","$14,751,695",100%,-,-
100,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
101,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
102,OSS 117: From Africa with Love,"$13,307,437",-,-,"$13,307,437",100%
103,Hostage: Missing Celebrity,"$13,123,145",-,-,"$13,123,145",100%
104,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
105,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
106,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
107,Character,"$12,571,501",-,-,"$12,571,501",100%
108,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
109,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
110,Cry Macho,"$11,511,442","$10,211,442",88.7%,"$1,300,000",11.3%
111,The Many Saints of Newark,"$11,478,309","$8,178,309",71.3%,"$3,300,000",28.7%
112,On the Line,"$11,334,507",-,-,"$11,334,507",100%
113,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
114,The Last Duel,"$11,287,876","$7,048,918",62.4%,"$4,238,958",37.6%
115,Krack,"$10,442,916",-,-,"$10,442,916",100%
116,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
117,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
118,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
119,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
120,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
121,¡A todo tren! Destino Asturias,"$9,640,706",-,-,"$9,640,706",100%
122,The Soul,"$9,600,000",-,-,"$9,600,000",100%
123,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
124,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
125,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
126,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
127,Black Box,"$8,468,359",-,-,"$8,468,359",100%
128,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
129,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
130,The Protege,"$8,231,051","$7,446,823",90.5%,"$784,228",9.5%
131,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
132,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
133,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
134,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
135,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
136,The Medium,"$7,592,993",-,-,"$7,592,993",100%
137,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
138,Dad,"$7,501,044",-,-,"$7,501,044",100%
139,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
140,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
141,Ainbo,"$7,301,301",-,-,"$7,301,301",100%
142,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
143,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
144,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
145,Extinct,"$6,929,315",-,-,"$6,929,315",100%
146,Are You Lonesome Tonight?,"$6,901,409",-,-,"$6,901,409",100%
147,Judas and the Black Messiah,"$6,795,355","$5,446,607",80.2%,"$1,348,748",19.8%
148,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
149,Seobok,"$6,778,823",-,-,"$6,778,823",100%
150,Silver Skates,"$6,727,993",-,-,"$6,727,993",100%
151,Dream Horse,"$6,637,015","$2,913,328",43.9%,"$3,723,687",56.1%
152,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
153,Copshop,"$6,390,492","$5,205,890",81.5%,"$1,184,602",18.5%
154,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
155,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
156,Penguin Bloom,"$6,155,199",-,-,"$6,155,199",100%
157,The Forgotten Battle,"$6,000,546",-,-,"$6,000,546",100%
158,The Blood of Wolves,"$5,908,700",-,-,"$5,908,700",100%
159,Me contro te - Il mistero della scuola incantata,"$5,879,431",-,-,"$5,879,431",100%
160,The Ice Road,"$5,878,194",-,-,"$5,878,194",100%
161,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
162,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
163,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
164,Chernobyl: Abyss,"$5,618,981",-,-,"$5,618,981",100%
165,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
166,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
167,Mamorarenakatta mono tachi e,"$5,302,962",-,-,"$5,302,962",100%
168,Rebels @ School,"$5,296,455",-,-,"$5,296,455",100%
169,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
170,Roadrunner: A Film About Anthony Bourdain,"$5,249,970","$5,249,970",100%,-,-
171,Miracle,"$5,246,638",-,-,"$5,246,638",100%
172,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
173,Poly,"$5,236,154",-,-,"$5,236,154",100%
174,A Morning of Farewell,"$5,075,369",-,-,"$5,075,369",100%
175,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
176,Love Story,"$5,016,645","$971,000",19.4%,"$4,045,645",80.6%
177,Red,"$4,920,261",-,-,"$4,920,261",100%
178,Zola,"$4,913,306","$4,844,399",98.6%,"$68,907",1.4%
179,Family Swap,"$4,850,133",-,-,"$4,850,133",100%
180,Palma,"$4,792,171",-,-,"$4,792,171",100%
181,Free! the Final Stroke,"$4,755,182",-,-,"$4,755,182",100%
182,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
183,Wrong Turn,"$4,561,737","$1,251,184",27.4%,"$3,310,553",72.6%
184,Separation,"$4,509,143","$4,509,143",100%,-,-
185,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
186,Prababushka lyogkogo povedeniya,"$4,424,649",-,-,"$4,424,649",100%
187,"Prvok, Sampon, Tecka a Karel","$4,414,070",-,-,"$4,414,070",100%
188,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
189,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
190,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
191,Voyagers,"$4,298,184","$3,149,935",73.3%,"$1,148,249",26.7%
192,Ostwind - Der große Orkan,"$4,217,300",-,-,"$4,217,300",100%
193,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
194,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
195,Titane,"$4,174,849","$1,368,565",32.8%,"$2,806,284",67.2%
196,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,"$4,111,708",-,-,"$4,111,708",100%
197,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
198,Ron's Gone Wrong,"$3,950,302","$2,300,000",58.2%,"$1,650,302",41.8%
199,Operación Camarón,"$3,871,185",-,-,"$3,871,185",100%
200,Master Ji Gong,"$3,860,000",-,-,"$3,860,000",100%
